x,y,result
55064,25847,30810
51322,52328,16498
59747,12947,13950
21969,50348,8690
18204,36306,6735
31287,41214,13927
23907,33647,47377
62407,60045,22869
41663,47010,32158
9280,39779,54663
1068,15918,25235
8993,52704,57703
10268,26277,25712
8506,7131,64511
65467,14304,56636
33616,54993,38986
40151,19401,62938
41783,34360,36541
32348,63753,22071
19170,50553,60540
34521,50458,207
26230,58429,40520
18567,23099,1354
52936,60231,1746
4571,62216,39312
34472,5639,33550
12597,43466,46576
58344,22865,6263
4205,1312,46826
29996,4135,61005
15616,63613,42518
59128,55767,38620
17476,35374,27008
24590,49825,5834
33590,43761,62109
34840,2574,55201
28681,61070,58695
61003,47249,61996
18632,48402,53012
41942,23203,4341
45081,10877,13600
28843,57678,60061
54344,21649,27265
15006,58549,23077
22961,45002,14825
62685,38578,44139
43078,56275,54628
28807,60555,47357
26112,53398,22506
44842,59703,59812
31621,14144,47130
62277,60303,36007
9677,57743,6204
42015,28309,48268
40607,18420,31967
51513,20150,53976
29297,14818,47391
12290,18103,51760
36468,27296,20915
11115,59430,9879
6761,8262,14674
32470,49840,26442
64538,61278,39173
44857,25113,46887
49138,24161,54265
19278,15221,30703
38306,16018,47038
9987,47983,26494
8223,52002,5352
10754,48830,1087
4884,62267,1830
3442,34182,32863
11548,15733,19463
52286,48016,540
43029,63401,53263
41908,49791,16996
6126,8841,13108
34093,5127,1958
4581,13412,6462
30240,53720,29450
37574,49519,50944
3403,10342,8350
13391,58325,61981
8222,65393,48530
3542,57053,34469
4740,272,36070
60496,38922,53870
11821,10691,33209
25670,59837,32849
53721,23534,22482
36208,37974,2777
29660,45049,56485
6530,34788,3848
49631,19942,33581
65028,37813,21759
57517,49009,4904
41217,2321,23029
49009,54608,19665
60647,57232,5972
54464,64190,44908
48747,59204,50698
64462,43706,38748
32589,10746,26795
54397,58259,63224
5046,42580,51730
16256,41254,1851
15017,45917,50519
20766,21547,23388
15167,4860,62475
41490,14657,63638
42673,33469,48708
63667,18353,44666
35790,47139,61157
7424,30900,26356
38833,61888,8263
29552,22043,57117
55555,28477,352
211,22606,39190
39223,54609,44009
15328,44269,37171
31651,31585,22351
19986,46668,817
11964,40753,9161
2678,27131,60779
45613,44168,6823
41789,22749,44037
12099,39919,42352
41102,47890,23485
21521,48526,351
13252,60354,61564
44877,42804,1756
16860,34895,59931
5743,17072,46011
57501,44967,16216
6143,7292,30047
23698,37795,23666
38877,43684,35271
18925,50842,5371
18899,21604,43989
12435,64513,28389
234,54225,7462
21724,12334,16311
28607,62827,44639
60224,50128,52940
45816,7939,8974
44945,25155,30283
50744,61805,56963
60050,56488,19413
13340,52014,31718
35917,19483,36566
59307,59616,14463
57278,32647,10997
37762,10666,6920
17951,56662,26013
32270,30387,22395
55637,32505,63542
19075,11824,46289
44839,47682,51648
9113,39526,44611
32272,54929,43947
47466,11679,59738
14547,32672,9302
7947,9059,54376
23622,21287,10839
61074,59540,6005
40770,54844,15944
53618,32511,6820
21953,25843,38285
43178,39904,11127
16968,9911,38401
4754,7068,1677
42416,23829,32924
18892,21718,57934
5973,28006,83
61244,38246,32367
17397,43172,12692
49925,31944,31927
10307,57872,43841
41004,33929,57938
13621,36541,20201
27932,54392,1039
25847,16012,23851
21366,47800,59965
41856,64544,49063
22167,58824,26653
8918,26922,45246
354,51334,57368
50751,19247,3811
7515,56725,18028
47253,3222,48568
29433,64651,29919
46394,13820,10939
31058,56702,39160
6155,6524,18940
25094,19776,15634
43066,53026,60937
8631,3375,17185
3501,29997,11272
