x,y,result
215,100,103
200,204,153
233,50,149
85,196,120
71,141,100
122,160,48
93,131,70
243,234,1
162,183,129
36,155,220
4,62,248
35,205,210
40,102,75
33,27,92
255,55,26
131,214,60
156,75,249
163,134,174
126,249,102
74,197,230
134,197,138
102,228,12
72,90,233
206,235,163
17,243,120
134,22,187
49,169,111
227,89,92
16,5,80
117,16,3
60,248,25
230,217,2
68,138,47
96,194,175
131,170,84
136,10,57
112,238,207
238,184,227
72,189,253
163,90,103
176,42,23
112,225,37
212,84,149
58,228,145
89,175,20
244,150,114
168,219,97
112,236,47
101,208,150
175,233,127
123,55,68
243,235,242
37,225,51
164,110,253
158,71,169
201,78,186
114,57,80
48,70,60
142,106,53
43,232,122
26,32,103
126,194,251
252,239,133
175,98,143
191,94,247
75,59,238
149,62,119
39,187,248
32,203,88
42,190,166
19,243,131
13,133,247
45,61,207
204,187,89
168,247,118
163,194,183
23,34,244
133,20,150
17,52,83
118,209,12
146,193,7
13,40,213
255,52,6
227,32,49
255,13,143
222,18,192
1,236,236
152,46,41
41,100,127
233,209,170
91,141,78
148,115,141
175,25,156
135,193,105
77,254,243
147,224,194
191,161,36
9,191,46
213,236,143
223,212,92
250,190,80
231,251,185
170,127,11
41,212,165
227,19,174
166,63,199
161,58,101
179,81,151
84,59,29
18,162,171
57,166,52
130,248,40
71,139,235
184,28,60
120,151,112
241,115,120
86,217,185
111,0,0
88,153,80
213,59,234
172,123,158
123,78,83
182,46,9
159,10,175
105,178,19
172,163,93
88,47,160
155,160,152
187,84,72
189,51,251
235,175,60
167,65,21
136,22,127
66,224,127
175,23,72
28,92,30
147,151,125
170,73,70
198,73,111
84,48,123
251,0,0
211,84,36
48,111,223
245,235,178
195,178,123
31,175,89
98,198,163
241,234,200
220,52,148
203,140,96
76,231,175
232,223,34
127,147,83
41,70,100
221,126,248
118,217,155
126,74,221
46,175,144
186,35,13
154,126,105
214,185,77
45,56,86
127,31,28
35,92,171
83,238,108
232,159,186
214,209,207
126,85,222
100,168,107
155,66,34
38,18,22
27,165,49
93,73,81
84,23,152
109,239,182
149,67,12
168,195,26
124,40,252
226,160,85
132,53,75
142,109,184
212,100,203
62,83,190
186,163,82
252,86,184
229,34,38
105,1,105
200,198,26
75,29,220
221,184,231
12,114,98
252,181,89
53,121,216
221,24,247
25,98,59
77,168,78
207,33,23
13,13,81
117,199,66
177,113,150
30,150,2
148,135,10
152,92,82
77,227,97
122,43,130
156,134,218
158,152,57
59,212,209
17,25,148
236,43,214
123,57,188
211,74,147
91,224,106
88,208,113
168,9,129
65,199,80
160,214,132
78,56,235
50,156,122
28,172,145
200,184,202
51,102,216
80,111,124
59,98,35
136,39,79
142,3,143
97,97,184
78,188,26
66,166,163
141,235,219
175,207,254
178,79,91
165,1,165
136,216,134
158,164,192
132,102,232
92,184,29
205,173,58
39,8,37
16,175,34
48,158,63
179,145,231
0,1,0
78,66,246
167,219,204
46,87,95
170,225,44
167,80,16
226,47,198
40,128,185
212,172,64
231,48,103
100,180,239
222,140,206
189,238,146
59,237,139
141,238,88
126,141,189
240,204,83
208,152,51
168,254,247
239,83,63
223,150,38
163,194,183
198,203,77
67,154,250
120,42,172
203,221,55
223,170,88
105,156,182
152,165,167
137,37,103
148,8,212
179,132,93
213,131,164
28,125,165
130,12,86
208,98,156
163,115,108
36,105,24
63,104,45
4,183,230
146,208,64
149,114,107
122,254,222
15,19,225
164,152,63
56,56,41
161,236,55
188,118,130
112,217,119
243,242,65
230,196,254
85,137,18
56,122,255
243,119,117
226,247,101
47,117,223
199,196,159
231,65,152
194,246,44
84,103,71
143,141,69
159,48,15
122,92,26
167,234,144
53,155,2
221,28,164
95,50,8
165,151,186
173,152,19
15,143,134
144,62,177
4,88,125
2,236,197
153,197,65
227,238,172
44,114,132
124,203,217
163,247,153
39,74,94
225,93,77
230,191,194
121,69,171
242,31,188
221,159,108
183,236,3
47,72,106
42,51,205
160,45,202
32,58,19
242,3,11
41,30,9
118,166,202
234,25,239
157,18,2
100,127,12
111,75,44
62,233,13
144,48,2
8,110,87
208,192,66
91,255,205
9,134,194
51,169,32
179,83,236
227,165,189
87,12,195
196,205,100
178,174,154
231,80,169
192,76,35
207,48,180
151,13,61
25,40,207
62,34,239
150,14,151
227,242,218
14,236,97
120,65,19
150,43,84
149,121,21
208,237,36
134,149,24
186,57,178
67,162,20
137,4,30
238,88,96
52,133,251
102,78,230
174,165,197
113,68,200
180,85,215
54,194,111
66,174,137
4,216,71
218,153,112
82,170,238
134,217,100
64,65,141
18,131,195
227,156,178
135,210,101
245,188,35
88,92,237
11,6,58
1,124,124
74,181,240
209,129,45
119,20,226
48,123,56
236,11,26
21,62,1
182,156,133
23,246,35
222,42,221
121,193,4
199,1,199
148,188,189
190,236,220
24,201,10
242,25,170
70,61,117
207,24,90
191,70,89
44,240,95
194,24,226
251,216,244
87,177,180
116,111,188
167,82,67
153,33,83
20,96,211
35,168,65
29,225,175
149,53,9
171,135,65
79,241,160
196,31,212
9,131,239
102,54,59
115,41,10
78,111,226
1,166,166
32,118,102
21,199,16
201,175,59
233,222,20
16,12,192
134,45,237
237,28,222
99,152,150
163,179,128
138,104,137
210,147,171
235,56,49
202,95,158
97,24,113
206,99,90
191,239,236
217,212,158
182,162,35
132,159,110
128,148,193
171,7,118
193,153,31
35,36,152
50,199,186
216,188,194
47,170,172
80,27,35
227,26,6
122,69,100
51,73,234
168,242,68
56,129,105
199,239,120
36,75,164
143,164,246
223,59,89
172,161,24
213,208,116
197,7,97
151,158,64
195,198,51
72,19,44
225,44,137
45,92,164
113,96,151
165,25,102
83,222,135
155,26,194
206,191,45
102,93,98
100,69,209
153,17,252
230,110,163
225,172,80
117,120,134
74,57,65
62,147,243
77,32,85
191,122,79
124,49,212
219,34,201
75,47,27
0,230,0
73,207,84
166,176,50
44,11,9
245,198,132
28,220,184
53,254,204
137,170,36
119,212,107
228,182,54
103,49,37
214,39,199
172,82,31
88,136,225
117,163,129
183,117,75
138,1,138
68,49,24
177,113,150
60,167,12
56,89,228
131,109,51
87,12,195
24,207,90
225,252,4
133,72,134
46,91,138
112,218,231
174,201,242
98,35,122
109,26,11
153,247,193
27,222,160
40,205,190
80,101,102
116,136,31
190,248,49
245,22,239
5,13,57
229,230,137
10,107,169
47,56,38
199,159,198
18,118,223
104,117,133
154,213,70
144,51,175
205,172,247
18,246,42
121,98,66
91,238,79
234,26,204
230,224,208
49,235,209
237,22,34
210,247,37
130,1,130
48,73,49
160,67,146
191,9,46
184,89,127
223,72,111
141,172,191
245,159,234
163,110,234
2,254,225
93,236,171
25,67,37
205,74,140
47,186,102
97,1,97
178,227,184
2,226,217
45,163,189
37,236,183
172,222,12
70,140,175
39,212,137
57,28,134
115,220,163
139,118,136
219,232,165
98,244,213
44,48,19
63,92,181
234,160,60
93,157,254
132,96,215
128,177,182
4,166,162
158,177,9
133,229,181
61,172,25
185,118,49
201,45,212
83,85,34
163,46,69
62,6,132
35,106,127
54,98,227
199,33,2
3,37,111
190,135,120
134,63,116
57,138,118
229,216,145
60,106,237
189,122,187
23,118,108
240,225,252
163,68,25
54,71,131
114,117,227
77,150,94
224,131,100
248,167,97
164,252,222
204,99,156
131,82,132
162,189,161
221,136,20
149,25,236
243,82,102
147,11,68
201,132,99
236,109,1
200,35,125
180,59,132
152,2,45
209,121,199
133,202,56
32,42,41
198,236,192
142,74,37
63,49,91
8,28,224
186,157,225
54,173,207
240,201,68
184,186,87
78,165,138
39,23,191
200,220,133
82,97,249
222,36,157
218,99,181
238,251,201
142,181,212
232,29,90
0,39,0
78,8,74
68,8,26
165,122,191
182,150,45
68,111,99
80,146,166
20,119,226
169,221,107
83,252,147
63,49,91
32,25,7
149,15,16
21,36,206
196,253,29
65,196,147
36,144,141
204,105,55
153,114,9
227,79,186
9,40,117
191,89,237
187,211,145
209,100,34
177,37,236
97,240,77
87,129,159
10,236,246
145,31,201
17,86,95
28,82,182
27,65,149
227,232,220
171,124,148
90,143,119
204,100,194
183,140,166
189,114,58
95,142,161
215,17,38
180,56,69
1,11,11
186,11,106
248,75,106
43,9,110
162,72,150
92,189,44
137,63,44
165,52,53
188,0,0
195,137,156
100,123,129
21,34,176
237,117,33
177,196,19
134,101,179
253,136,196
112,183,26
148,104,77
3,191,220
113,165,12
7,206,80
99,145,202
14,8,112
198,202,139
9,138,174
84,109,117
5,105,208
144,242,55
223,65,6
183,102,48
166,180,144
238,22,24
108,131,176
127,112,78
67,241,152
22,74,117
191,121,147
220,205,14
130,162,154
152,139,142
44,237,68
249,50,146
87,137,29
36,54,86
202,220,32
156,113,23
145,139,41
136,254,65
15,7,45
110,82,240
249,132,134
156,184,126
254,121,193
134,128,52
27,31,52
11,72,162
12,5,60
122,99,158
142,159,193
154,89,34
124,55,193
203,13,214
195,83,126
12,210,177
91,122,97
36,84,31
255,193,172
13,254,130
58,148,35
126,86,92
179,138,33
159,192,60
143,26,23
36,30,159
185,191,138
120,54,101
246,67,76
68,185,191
151,80,171
140,242,128
203,176,9
70,203,48
114,83,52
201,173,180
232,71,58
4,155,86
209,163,173
92,97,141
189,129,69
128,119,5
64,248,236
173,55,98
60,241,216
240,211,209
66,125,204
197,13,144
45,12,193
216,160,10
96,161,182
77,72,248
232,81,86
228,186,242
244,65,63
27,178,221
194,155,48
42,3,126
148,216,78
58,208,237
201,42,145
164,11,184
167,105,29
25,213,226
118,241,106
117,214,52
146,195,62
31,123,96
20,3,60
54,9,155
68,82,108
188,7,19
238,230,221
10,130,125
190,68,126
83,136,80
111,247,148
148,23,126
97,173,161
237,216,31
159,99,162
175,50,37
38,206,102
174,59,160
210,228,239
68,23,245
54,0,0
30,37,129
231,40,218
168,165,60
109,251,129
46,220,222
243,194,193
244,85,51
112,225,37
45,15,182
68,220,78
65,106,245
171,239,33
165,125,227
212,234,161
148,11,117
235,179,170
48,210,254
220,217,24
120,73,244
213,166,189
38,200,178
104,26,121
30,217,123
252,75,91
232,64,152
40,42,100
171,211,32
25,81,154
81,238,173
60,229,207
249,39,131
152,42,115
250,116,142
3,114,150
190,216,111
24,228,149
161,129,255
255,191,211
91,251,188
11,67,231
60,52,196
109,231,249
7,135,178
57,88,132
117,117,181
62,111,255
156,215,167
154,150,188
75,157,178
8,9,72
118,33,16
238,23,246
163,237,81
215,254,8
232,226,52
66,36,189
22,176,72
12,30,136
55,69,170
119,173,106
186,182,85
29,86,144
141,183,17
237,216,31
85,246,153
226,203,30
24,208,79
227,188,131
190,186,236
187,167,39
157,253,129
203,180,2
173,216,27
210,229,61
29,74,193
146,216,164
0,175,0
47,141,232
103,28,160
102,188,141
19,72,44
135,43,245
25,106,243
231,215,216
36,163,111
126,194,251
160,74,91
118,78,114
35,73,14
51,65,111
147,197,176
25,148,245
117,73,246
34,221,5
102,136,122
153,121,3
209,33,238
165,235,252
139,141,75
195,176,224
48,66,252
114,208,29
140,233,53
30,176,161
50,82,127
241,197,181
24,11,232
90,141,195
84,124,8
106,186,175
4,4,16
52,214,65
37,217,184
193,177,92
102,132,232
98,151,10
198,213,97
103,83,111
190,134,198
3,240,13
216,245,144
182,240,123
0,16,0
126,85,222
140,233,53
16,145,229
238,68,154
103,19,151
30,41,9
197,132,29
174,39,9
27,116,8
253,131,101
200,187,143
10,204,171
172,227,21
193,98,144
212,194,208
114,83,52
24,255,224
61,40,6
144,43,174
109,248,54
63,139,82
33,4,132
15,207,97
44,43,224
68,41,54
175,13,56
229,185,122
217,145,64
157,155,54
243,113,101
94,102,200
197,118,250
101,2,202
159,246,86
45,12,193
239,109,182
151,17,18
114,167,26
225,158,72
210,37,226
200,129,40
51,173,236
59,12,41
62,217,89
168,50,187
75,6,167
152,16,117
125,254,30
18,28,229
245,64,139
40,228,162
174,191,175
246,32,171
102,215,212
190,57,86
253,135,182
187,48,129
52,247,187
60,115,203
208,229,234
165,27,49
235,61,81
44,104,91
60,63,125
133,49,80
128,173,16
